j	n_j
3381	1
3382	1
3383	1
3384	2
3385	1
3386	1
3388	1
3394	1
3395	1
3398	1
3400	1
3401	2
3405	1
3411	1
3412	1
3418	1
3423	2
3424	1
3430	2
3433	1
3434	1
3441	1
3448	1
3450	1
3453	1
3454	1
3456	1
3458	2
3462	1
3465	1
3468	2
3469	1
3470	1
3473	2
3475	2
3478	1
3480	1
3482	1
3485	1
3487	1
3491	1
3494	1
3496	2
3498	1
3499	1
3500	1
3503	1
3504	2
3505	1
3509	1
3512	1
3514	1
3517	2
3519	1
3521	1
3525	1
3531	1
3535	1
3536	2
3539	1
3541	2
3550	2
3551	1
3556	1
3557	1
3568	1
3573	1
3580	1
3595	1
3609	1
3622	1
3630	1
3632	1
3642	1
3667	1
3679	1
3732	1
3734	1
3756	1
3761	1
3762	1
3763	1
3767	1
3771	1
3779	2
3786	1
3791	3
3793	1
3805	1
3812	1
3816	1
3825	1
3835	1
3851	1
3859	1
3860	1
3880	1
3890	1
3906	2
3928	1
3934	1
3959	1
3969	1
3991	1
4000	1
4015	1
4048	1
4050	1
4056	1
4057	1
4066	1
4088	1
4099	1
4101	1
4108	1
4114	1
4118	1
4119	2
4127	1
4131	1
4145	1
4146	1
4149	1
4151	1
4156	1
4206	1
4216	1
4223	1
4243	1
4246	1
4252	1
4257	1
4258	1
4266	1
4267	1
4271	1
4272	1
4274	1
4276	1
4291	1
4300	1
4305	1
4320	1
4332	1
4391	1
4410	1
4412	1
4417	1
4432	1
4448	1
4464	1
4479	1
4503	1
4506	1
4521	1
4546	1
4584	1
4605	1
4618	1
4641	1
4657	1
4660	1
4686	1
4695	2
4729	1
4770	1
4801	1
4804	1
4816	1
4821	2
4904	1
4935	1
4963	1
5008	1
5009	1
5013	1
5015	1
5038	1
5143	1
5156	1
5157	1
5166	1
5234	1
5263	1
5337	1
5357	1
5466	1
5489	1
5537	1
5596	1
5600	1
5605	1
5687	1
5695	1
5706	1
5727	1
5780	1
5793	1
5827	1
5850	1
5880	1
5918	1
5919	1
6028	1
6059	1
6073	1
6076	1
6091	1
6152	1
6189	1
6194	1
6213	1
6225	1
6337	1
6345	1
6359	1
6395	1
6423	1
6427	1
6436	1
6445	1
6473	1
6504	1
6578	1
6584	1
6589	1
6629	1
6662	1
6679	1
6737	1
6763	1
6843	1
6894	1
6935	1
7005	1
7035	1
7146	1
7284	1
7289	1
7351	1
7373	1
7414	1
7471	1
7495	1
7514	1
7525	1
7547	1
7649	1
7659	1
